SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,LaunchVehicleClass,Purpose
8601,MOLNIYA 1-32,1976,719.79,-1.0,UNK,63.65,Inactive,0,MEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
8607,COSMOS 791,1976,114.74,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8608,COSMOS 792,1976,115.16,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8609,COSMOS 793,1976,114.96,-1.0,UNK,74.06,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8610,COSMOS 794,1976,115.37,-1.0,UNK,74.06,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8611,COSMOS 795,1976,115.59,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8612,COSMOS 796,1976,115.83,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8613,COSMOS 797,1976,116.06,-1.0,UNK,74.06,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8614,COSMOS 798,1976,116.34,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8620,INTELSAT 4A-F2,1976,1444.48,-1.0,-,8.41,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown
8645,COSMOS 800,1976,104.94,-1.0,UNK,82.97,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8688,COSMOS 803,1976,92.45,-1.0,UNK,65.84,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8697,MARISAT 1,1976,1451.49,-1.0,-,6.38,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
8709,UME (ISS),1976,104.98,-1.0,-,69.67,Inactive,0,LEO,Japan,Japan,Unknown,Unknown,Unknown
8744,COSMOS 807,1976,98.7,-1.0,UNK,82.92,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
