SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
25153,INMARSAT 3-F5,1998,Active,+,GEO,2000.0,1,1436.03,French Guiana,INMARSAT,Commercial,Communications,Ariane,1 25153U 98006B   22110.80269021 -.00000291  00000+0  00000+0 0  9994,2 25153   6.2737  66.2013 0005293 331.5365  46.0990  1.00269531 88670
25159,ORBCOMM FM04,1998,Active,+,LEO,45.0,1,100.68,USA,ORBCOMM,Commercial,Communications,Taurus,1 25159U 98007C   22110.74022943  .00000671  00000+0  30611-3 0  9990,2 25159 107.9938 297.6081 0042651  94.7776 265.8234 14.30254807259103
25160,CELESTIS-02 & TAURUS R/B,1998,Active,+,LEO,-1.0,0,101.29,USA,USA,Unknown,Unknown,Unknown,1 25160U 98007D   22110.86193387 -.00000031  00000+0  44076-4 0  9998,2 25160 107.9834 150.8072 0063738 210.0519 323.3403 14.21611554254678
25258,UFO 8 (USA 138),1998,Active,+,GEO,3206.0,1,1436.09,USA,USA,Military,Communications,Atlas,1 25258U 98016A   22110.62505741 -.00000028  00000+0  00000+0 0  9991,2 25258   9.3660  30.1301 0003758  21.3955 193.7762  1.00273483 88621
25338,NOAA 15,1998,Active,B,LEO,2223.0,1,100.97,USA,USA,Government,Earth Observation,Titan,1 25338U 98030A   22111.45009404  .00000170  00000+0  89241-4 0  9999,2 25338  98.6502 141.7155 0011586 103.2389 257.0084 14.26111323245140
25397,TECHSAT 1B (GO-32),1998,Active,P,LEO,-1.0,0,101.14,Kazakhstan,Israel,Unknown,Unknown,Unknown,1 25397U 98043D   22110.59110834  .00000069  00000+0  50008-4 0  9998,2 25397  98.8126  60.9232 0000245 314.3530  45.7629 14.23744669235193
25414,ORBCOMM FM18,1998,Active,+,LEO,45.0,1,100.46,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25414U 98046B   22110.61935417  .00000742  00000+0  31676-3 0  9993,2 25414  44.9947 222.2057 0004781 245.1543 114.8806 14.33430372238505
25415,ORBCOMM FM19,1998,Active,+,LEO,45.0,1,100.46,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25415U 98046C   22110.76475800  .00000685  00000+0  29671-3 0  9993,2 25415  44.9955 222.2814 0003939 233.7112 255.3562 14.33370003238497
25416,ORBCOMM FM20,1998,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25416U 98046D   22110.76150630  .00000570  00000+0  25578-3 0  9990,2 25416  44.9951 222.6578 0001766 196.7756 163.3032 14.33321332238607
25418,ORBCOMM FM15,1998,Active,+,LEO,45.0,1,100.46,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25418U 98046F   22111.03390285  .00000659  00000+0  28697-3 0  9998,2 25418  44.9983 223.0463 0003531 260.5559 269.4460 14.33449770238739
25419,ORBCOMM FM14,1998,Active,+,LEO,45.0,1,100.46,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25419U 98046G   22111.03277541  .00000806  00000+0  33970-3 0  9992,2 25419  44.9977 222.6942 0002884 236.9653 293.4368 14.33482093238731
25420,ORBCOMM FM13,1998,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25420U 98046H   22110.81484108  .00000603  00000+0  26801-3 0  9998,2 25420  44.9985 225.9974 0004994 251.4279 108.6024 14.33245211237579
25462,ASTRA 2A,1998,Active,+,GEO,3635.0,1,1436.15,Kazakhstan,SES,Commercial,Communications,Proton,1 25462U 98050A   22111.10612208  .00000145  00000+0  00000+0 0  9996,2 25462   3.2623  86.1357 0002608 315.8270 233.3732  1.00273752 86519
25475,ORBCOMM FM21,1998,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25475U 98053A   22110.84569466  .00000508  00000+0  23352-3 0  9992,2 25475  45.0102 309.6218 0000240  34.2499 325.8362 14.33302522231597
25477,ORBCOMM FM23,1998,Active,+,LEO,45.0,1,100.48,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25477U 98053C   22111.06084574  .00000615  00000+0  27253-3 0  9994,2 25477  45.0102 310.7878 0000760 215.1641 144.9155 14.33193848232084
25481,ORBCOMM FM27,1998,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25481U 98053G   22110.82275016  .00000601  00000+0  26676-3 0  9998,2 25481  45.0074 310.4651 0001322  35.6902 324.4033 14.33316625231981
25504,SCD 2,1998,Active,+,LEO,110.0,1,99.71,Eastern Range Airspace,Brazil,Government,Earth Observation,Pegasus,1 25504U 98060A   22110.27545851  .00000366  00000+0  52841-4 0  9990,2 25504  24.9960  68.5783 0016941 290.5311 215.2984 14.44183591240420
25544,ISS (ZARYA),1998,Active,+,LEO,-1.0,1,92.91,Kazakhstan,ISS,Government,Space Science,Proton,1 25544U 98067A   22111.39454714  .00008803  00000+0  16105-3 0  9998,2 25544  51.6428 257.8608 0005132  41.6208  63.4709 15.50171984336378
25560,SWAS,1998,Active,B,LEO,-1.0,0,96.35,Western Range Airspace,USA,Unknown,Unknown,Unknown,1 25560U 98071A   22111.15769453  .00001174  00000+0  11676-3 0  9996,2 25560  69.8968 130.5228 0005816  25.7425 334.4019 14.94566782269724
25621,GLOBALSTAR M023,1999,Active,+,LEO,-1.0,0,114.07,Kazakhstan,Globalstar,Unknown,Unknown,Unknown,1 25621U 99004A   22110.87940556 -.00000087  00000+0  95024-4 0  9997,2 25621  52.0116 324.9396 0010898  97.1795 276.8716 12.62407017 70063
25639,SKYNET 4E,1999,Active,+,GEO,1510.0,1,1436.09,French Guiana,UK,Military,Communications,Ariane,1 25639U 99009B   22110.27202383 -.00000035  00000+0  00000+0 0  9992,2 25639  11.2202  17.2359 0002656  21.1699 266.6561  1.00274430 36157
25652,GLOBALSTAR M037,1999,Active,+,LEO,450.0,1,114.07,Kazakhstan,Globalstar,Commercial,Communications,Soyuz,1 25652U 99012D   22110.68333707 -.00000082  00000+0  11874-3 0  9998,2 25652  51.9990  96.5872 0001810 143.6517  27.2172 12.62348009 65589
25682,LANDSAT 7,1999,Active,P,LEO,2744.0,1,98.82,USA,USA,Government,Earth Observation,Delta,1 25682U 99020A   22110.84956061 -.00008690  00000+0 -18378-2 0  9991,2 25682  97.9832 161.0823 0001355 100.5339 259.6710 14.59170190224161
25757,DLR-TUBSAT,1999,Active,+,LEO,45.0,1,99.21,India,Germany,Government,Earth Science,PSLV,1 25757U 99029B   22111.05471234  .00000108  00000+0  38545-4 0  9995,2 25757  98.4838  53.0703 0013348 295.9316  64.0503 14.51485244213057
25867,CXO,1999,Active,+,HEO,4742.0,1,3808.96,USA,USA,Government,Space Science,Space Shuttle STS,1 25867U 99040B   22112.51491406  .00000913  00000+0  00000+0 0  9999,2 25867  46.8803 239.0290 8753387 232.0053   0.1821  0.37810183 22748
25894,ABS-7,1999,Active,+,GEO,-1.0,0,1440.34,French Guiana,ABS,Unknown,Unknown,Unknown,1 25894U 99046A   22110.85049486 -.00000275  00000+0  00000+0 0  9999,2 25894   2.6182  88.2180 0005893 336.1965  51.4371  0.99971556 81904
25924,ABS-6,1999,Active,+,GEO,2894.0,1,1436.11,Kazakhstan,ABS,Commercial,Communications,Proton,1 25924U 99053A   22110.84516545 -.00000121  00000+0  00000+0 0  9995,2 25924   0.0362  64.8911 0003003   0.3808 246.9050  1.00280011 82626
25933,NAVSTAR 46 (USA 145),1999,Active,+,MEO,2217.0,1,717.99,USA,USA,Commercial/Military,Navigation/Global Positioning,Delta,1 25933U 99055A   22110.37914619 -.00000087  00000+0  00000+0 0  9990,2 25933  52.4050   1.1392 0143821 129.5101  52.7525  2.00560353165118
25954,AMC-4 (GE-4),1999,Active,+,GEO,3909.0,1,1436.07,French Guiana,SES,Commercial,Communications,Ariane,1 25954U 99060A   22110.71481981  .00000085  00000+0  00000+0 0  9995,2 25954   1.3744  92.4128 0003237 302.2267 296.5688  1.00270163 28328
25967,UFO 10 (USA 146),1999,Active,+,GEO,3200.0,1,1436.04,USA,USA,Military,Communications,Atlas,1 25967U 99063A   22110.13938174 -.00000187  00000+0  00000+0 0  9993,2 25967   8.6416  33.6287 0003511  29.7279 172.1709  1.00273376 82119
25980,ORBCOMM FM30,1999,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25980U 99065A   22110.76890905  .00000489  00000+0  22692-3 0  9997,2 25980  45.0316 127.3720 0005625 349.4871  10.5857 14.33237073168791
25981,ORBCOMM FM31,1999,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25981U 99065B   22110.74804084  .00000420  00000+0  20211-3 0  9999,2 25981  45.0230 121.8467 0002358 348.1353  11.9438 14.33271143168342
25982,ORBCOMM FM32,1999,Active,+,LEO,45.0,1,100.54,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25982U 99065C   22111.16841518  .00000428  00000+0  20859-3 0  9996,2 25982  45.0165 128.2193 0004073  23.5733 336.5300 14.32307715169258
25983,ORBCOMM FM33,1999,Active,P,LEO,-1.0,0,100.31,Eastern Range Airspace,ORBCOMM,Unknown,Unknown,Unknown,1 25983U 99065D   22110.61920907  .00000721  00000+0  29716-3 0  9993,2 25983  45.0309  59.0758 0008800  26.1478 143.8578 14.35509971170107
25984,ORBCOMM FM36,1999,Active,+,LEO,45.0,1,100.47,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25984U 99065E   22110.74586668  .00000650  00000+0  28475-3 0  9992,2 25984  45.0369 130.9283 0005563 278.3851  81.6366 14.33305282168721
