Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
Astra 1L,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2007-05-04 00:00:00,4500.0,,13000,15.0,Ariane 5 ECA,31306
Astra 1M,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2008-11-05 00:00:00,5345.0,,9900,15.0,Proton M,33436
Astra 1N,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2011-08-06 00:00:00,5350.0,,,15.0,Ariane 5 ECA,37775
Astra 2A,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,1998-08-30 00:00:00,3635.0,2500,7000,15.0,Proton K,25462
Astra 2C,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2001-06-16 00:00:00,3643.0,2000,7000,15.0,Proton K,26853
Astra 2D,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2000-12-19 00:00:00,1420.0,700,1500,15.0,Ariane 5G,26638
Astra 2E,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2013-09-29 00:00:00,6052.0,,13000,15.0,Proton M,39285
Astra 2F,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2012-09-28 00:00:00,6000.0,2660,,15.0,Ariane 5 ECA,38778
Astra 2G,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2014-12-27 00:00:00,6000.0,,13000,15.0,Proton M,40364
Astra 3A,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2002-03-29 00:00:00,1500.0,750,1500,10.0,Ariane 44L,27400
Astra 3B,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2010-05-21 00:00:00,5471.0,,10000,15.0,Ariane 5 ECA,36581
Astra 5B,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2014-03-22 00:00:00,5724.0,,,15.0,Ariane 5 ECA,39617
Astranis Demosat-2,USA,Astranis,Commercial,Technology Development,,LEO,Sun-Synchronous,2018-01-11 00:00:00,,,,,PSLV,43127
Astrocast-0101 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,4.0,,,,Falcon 9/Sherpa FX,47430
Astrocast-0102 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,4.0,,,,Falcon 9/Sherpa FX,47488
Astrocast-0103 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,4.0,,,,Falcon 9/Sherpa FX,47487
Astrocast-0104 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,4.0,,,,Falcon 9/Sherpa FX,47519
Astrocast-0105 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-01-24 00:00:00,4.0,,,,Falcon 9/Sherpa FX,47517
Astrocast-0201 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-06-30 00:00:00,4.0,,,,Falcon 9,48954
Astrocast-0202   ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-06-30 00:00:00,4.0,,,,Falcon 9,48961
Astrocast-0203,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-06-30 00:00:00,4.0,,,,Falcon 9,48955
Astrocast-0204 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-06-30 00:00:00,4.0,,,,Falcon 9,48952
Astrocast-0205 ,Switzerland,Astrocast,Commercial,Communications,,LEO,Sun-Synchronous,2021-06-30 00:00:00,4.0,,,,Falcon 9,48960
Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,,LEO,Equatorial,2015-09-28 00:00:00,230.0,,,5.0,PSLV C-30,40930
