SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2,MeanMotion,Eccentricity,OrbitClass
24737,USA 130 (DSP 18),1997,1454.08,-1.0,-,14.12,Inactive,0,GSO,USA,USA,Unknown,Unknown,Titan,1 24737U 97008A   24054.18286199 -.00000257  00000+0  00000+0 0  9999,2 24737  14.1217   9.7735 0009633 305.2676 227.4842  0.99032116 10441,0.99032116,0.0009633,GSO
162,TIROS 3,1961,99.68,-1.0,-,47.9,Inactive,0,LEO,USA,USA,Unknown,Unknown,Delta,1 00162U 61017A   24054.50175279  .00000150  00000+0  88970-4 0  9996,2 00162  47.8975 249.0065 0044260   5.6576 354.4808 14.44591390269618,14.4459139,0.004426,LEO
163,MIDAS 3,1961,161.46,-1.0,UNK,91.11,Inactive,0,MEO,USA,USA,Unknown,Unknown,Unknown,1 00163U 61018A   24054.24790461  .00000001  00000+0 -58366-4 0  9997,2 00163  91.1076 169.2255 0097901   3.5626 356.5926  8.91835500 38684,8.918355,0.0097901,MEO
49315,OBJECT A,2021,89.96,500.0,UNK,97.41,Inactive,1,LEO,PRC,China,Government,Space Science,Long March,1 49315U 21091A   24054.76751341  .00863142  35279-3  17655-2 0  9993,2 49315  97.4119 263.0045 0002290   6.5470 353.5837 15.99461432132127,15.99461432,0.000229,LEO
8357,COSMOS 775,1975,1436.38,-1.0,UNK,4.54,Inactive,0,GSO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown,1 08357U 75097A   24054.19722074  .00000146  00000+0  00000+0 0  9997,2 08357   4.5460 276.7614 0011974 156.6808 186.5790  1.00251568123283,1.00251568,0.0011974,GSO
49316,OBJECT B,2021,94.89,-1.0,UNK,97.46,Inactive,0,LEO,PRC,China,Unknown,Unknown,Unknown,1 49316U 21091B   24054.77995171  .00005164  00000+0  26090-3 0  9992,2 49316  97.4559 243.8787 0004735 270.0206  90.0485 15.17500313130858,15.17500313,0.0004735,LEO
49317,OBJECT C,2021,94.33,50.0,UNK,97.45,Inactive,1,LEO,PRC,China,Commercial,Technology Development,Long March,1 49317U 21091C   24054.82809310  .00008919  00000+0  34237-3 0  9991,2 49317  97.4511 246.9337 0013995 127.0111 233.2410 15.26609296131069,15.26609296,0.0013995,LEO
49318,OBJECT D,2021,102.89,-1.0,UNK,97.45,Inactive,0,LEO,PRC,China,Unknown,Unknown,Unknown,1 49318U 21091D   24054.87784695 -.00000007  00000+0  16555-4 0  9990,2 49318  97.4451 230.4047 0011789 244.8953 115.0993 13.99576350129950,13.9957635,0.0011789,LEO
49319,OBJECT E,2021,94.26,45.0,UNK,97.45,Inactive,1,LEO,PRC,China,Commercial,Earth Observation,Long March,1 49319U 21091E   24054.84354164  .00009686  00000+0  35975-3 0  9999,2 49319  97.4530 247.6972 0014296 126.6328 233.6228 15.27672782131102,15.27672782,0.0014296,LEO
49320,OBJECT F,2021,93.76,-1.0,UNK,97.44,Inactive,0,LEO,PRC,China,Unknown,Unknown,Unknown,1 49320U 21091F   24054.83369507  .00022476  00000+0  64556-3 0  9996,2 49320  97.4429 250.5333 0011418 115.8398 244.4025 15.35783561131310,15.35783561,0.0011418,LEO
49321,OBJECT G,2021,94.22,30.0,UNK,97.45,Inactive,1,LEO,PRC,China,Civil,Technology Development,Long March,1 49321U 21091G   24054.78722031  .00010367  00000+0  37753-3 0  9991,2 49321  97.4509 247.8624 0013417 126.1589 234.0894 15.28315446131112,15.28315446,0.0013417,LEO
49322,OBJECT H,2021,93.91,45.0,UNK,97.45,Inactive,1,LEO,PRC,China,Commercial,Earth Observation,Long March,1 49322U 21091H   24054.81434048  .00018845  00000+0  58490-3 0  9994,2 49322  97.4475 249.6634 0012417 119.7598 240.4881 15.33357686131253,15.33357686,0.0012417,LEO
